County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Bronx,La Familia Verde Farmers' Market,"Tremont Park on Tremont Ave., btwn LaFontaine & Arthur Aves.",East Tremont Ave and Arthur Ave,Bronx,NY,10457,Aleyna Rodriguez,7185831765,http://www.lafamiliaverde.org,Tuesday  8am-2pm,July 7-November 17,M,Y,N,N,Y,40.84643,-73.89334,"(40.84643, -73.89334)"
Kings,Seeds in the Middle Farm Stand-Flatbush,2500 Nostrand Ave Brooklyn,2500 Nostrand Ave,Brooklyn,NY,11210,Nancie Katz,9176973745,http://seedsinthemiddle.org,Thursday 1pm-7pm,Year-round,M,Y,N,N,Y,40.62378,-73.94632,"(40.62378, -73.94632)"
St. Lawrence,Canton Friday Farmers' Market,Village Green Park 17 Park St @ Main St.,Village Green Park  Main St.,Canton,NY,13617,Elizabeth Parson,3156048133,https://www.facebook.com/CantonNYFarmersMarket/,Friday 9am-2pm,May 8-October 30,P/M,Y,N,N,Y,33.77796,-117.94104,"(33.77796, -117.94104)"
Monroe,Curbside Market-Keeler Apts,501 Seneca Manor Dr. Rochester,501 Seneca Manor Dr.,Rochester,NY,14621,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Wed 2:15pm-3:45pm,July 8-December 16,M/X,Y,Y,N,Y,43.19395,-77.60168,"(43.19395, -77.60168)"
St. Lawrence,Whitten Family Farm Stand,1101 Cty 49 Winthrop,1101 County Road 49,Winthrop,NY,13697,Cherie Whitten,3153595112,http://www.whittenfamilyfarm.com,"Monday  3pm-7pm, Tuesday  8am-1pm",July 20-November 24,M,Y,Y,N,Y,44.75203,-74.752,"(44.75203, -74.752)"
Rensselaer,Veggie Mobile Sprout-Barker Park,Corner 3rd & State St. Troy,3rd and State St.,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11:30am-12pm,Year-round,YR,Y,Y,Y,Y,42.73006,-73.69055,"(42.73006, -73.69055)"
Madison,Dizzy Lizzie's Farm Farm Stand,3823 Sanderson Rd Erieville,3823 Sanderson Rd,Erieville,NY,13061,Elizabeth Blackburn,3156627565,http://www.dizzylizziesfarm.com,Tuesday 8:30am-11:30am,July-September,M,Y,N,N,Y,42.83934,-75.74399,"(42.83934, -75.74399)"
Columbia,New Lebanon Farmers' Market,502 State Rte 20/Columbia Pike,516 NYS Route 20,New Lebanon,NY,12125,Joshua Young,9174881061,http://www.facebook.com/newlebanonfarmersmarket,Sunday  10am-2pm,June 2-October 27,M,Y,Y,N,Y,42.46715,-73.3917,"(42.46715, -73.3917)"
Monroe,Curbside Market-Towpath Manor (Palmyra),200 Canal St Palmyra 14522,200 Canal St,Palmyra,NY,14522,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Tue 3:15pm-4:15pm,July 7-December 15,M/X,Y,Y,N,Y,43.06538,-77.23119,"(43.06538, -77.23119)"
Erie,Clinton Bailey Mon Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Monday 7am-6pm,May 2-October 31,P/M,N,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Oneida,Wormont Woolies Farm Stand,8998 Summit Rd.  Cassville,8998 Summit Rd.,Cassville,NY,13318,Katherine Worden,3157251716,https://wormontwoolies.square.site/,Daily 2pm-5pm,Year-round,YR,Y,N,N,Y,42.95876,-75.29667,"(42.95876, -75.29667)"
Queens,Far Rock Farm Stand,385 Beach 45th St Far Rockaway,385 Beach 45th Street,Far Rockaway,NY,11691,Jenae Joseph,7187733551,http://tcahnyc.org,Saturday  10am-2pm,July 6-November 21,M,Y,Y,N,Y,40.595287,-73.776572,"(40.595287, -73.776572)"
New York,Harvest Home East Harlem Farmers' Market,E 104th St. & Third Ave.,East 104th St and Third Ave,New York,NY,10029,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,July 9-November 19,M,Y,Y,N,Y,40.79024,-73.94564,"(40.79024, -73.94564)"
Niagara,North Tonawanda City Thurs Farmers' Market,Robinson Rd. & Payne Ave.,310 Robinson Road,North Tonawanda,NY,14120,Matt Parrish,7166958555,http://www.northtonawanda.org/Departments/City%20Market.htm,Thursday  7am-1pm,Year-round,YR,Y,Y,N,Y,43.03377,-78.87021,"(43.03377, -78.87021)"
Orleans,Canal Village Farmers' Market,127 W Center St. Medina,127 W Center St.,Medina,NY,14103,Gail Miller,5857983904,http://www.facebook.com/Canal-Village-Farmers-Market-1628793180740256,Sat  9am-2pm,Year-round,YR,Y,Y,Y,Y,43.220217,-78.38851,"(43.220217, -78.38851)"
Erie,MAP Mobile Market-Neighboorhood Health Center NW,155 Lawn Ave Buffalo,155 Lawn Ave,Buffalo,NY,14207,Danielle Rovillo,7168825327,http://www.mass-ave.org,Wednesday 11am-1pm,August 1-Novmeber 1,M,Y,Y,N,Y,42.9506,-78.8895,"(42.9506, -78.8895)"
Washington,Fort Edward Farmers' Market,Broadway Lanes 359 Broadway Route 4,359 Broadway,Fort Edward,NY,12828,Linda Gifford,5187920198,,Friday  10am-1pm,June 26-October 30,M,Y,N,N,Y,43.28393,-73.58721,"(43.28393, -73.58721)"
Herkimer,Little Falls Farmers' & Flea Market,M&T Bank parking lot  Albany St.,Albany Street and 2nd Street,Little Falls,NY,13365,Mary Davis,3158662619,,Saturday  8am-12pm,May 23-October 31,P/M,Y,N,N,Y,43.04284,-74.85828,"(43.04284, -74.85828)"
Madison,Parry's Hardware WINTER Farmers' Market,100 Utica Street Hamilton,100 Utica Street,Hamilton,NY,13346,Gwenn Werner,3158240002,http://www.parryshamilton.com,2nd Sat  10am-1pm,November-April,M/X/W/P,N,N,N,Y,42.832844,-75.548027,"(42.832844, -75.548027)"
Kings,Bushwick Maria Hernandez Pk Farmers' Market,Knickerbocker Ave @ Starr & Suydam,Knickerbocker Avenue,Brooklyn,NY,11206,Novelette Scott,7188210254,http://www.riseboro.org,Saturday  9am-3pm,May 16-November 28,P/M,Y,Y,N,Y,40.70257,-73.92497,"(40.70257, -73.92497)"
Sullivan,Sullivan Fresh Market on the Move-Wurtsboro,"134 Sullivan St, Wurtsboro",134 Sullivan St,Wurtsboro,NY,12790,Michelle Proscia,8452926180,http://www.sullivancce.org,Thursday 10:30am-12:30pm,July 2-October 1,M,Y,Y,N,Y,41.57636,-74.48583,"(41.57636, -74.48583)"
New York,79th Street Greenmarket,366 Columbus Ave. btwn W 77th & W 81st Sts.,West 79th St and Columbus Ave,New York,NY,10024,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/79th-street,Sunday  9am-4pm,Year-Round,YR,Y,Y,N,Y,40.78195,-73.97548,"(40.78195, -73.97548)"
Genesee,Genesee Country Friday Farmers' Market,Bank St. at Alva Place Batavia,Bank St and Alva Place,Batavia,NY,14020,Sharon Brent,7165600853,,Friday  9am-5pm,June 5-October 30,M,Y,Y,N,Y,42.99905,-78.18151,"(42.99905, -78.18151)"
Franklin,JCEO MM-Alice Center,45 6th St Malone,45 6th St,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Wednesday 10am-11am,June 10-October 14,M,Y,Y,N,Y,44.86017,-74.29201,"(44.86017, -74.29201)"
Nassau,Roosevelt Community Farm Stand,380 Nassau Rd. Family Health Clinic,380 Nassau Rd.,Roosevelt,NY,11575,Jacob Dixon,5165442955,http://www.choiceforall.org,Saturday  11am-4pm,September 5-October 24,M,Y,Y,N,Y,40.68172,-73.59132,"(40.68172, -73.59132)"
Kings,Bay Ridge Greenmarket,9408  3rd Ave. at 95th St. inside Walgreen's parking lot,Third Ave and 95th St,Brooklyn,NY,11209,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,May 2-November 21,P/M,Y,Y,N,Y,40.61724,-74.03362,"(40.61724, -74.03362)"
Monroe,Village of Fairport Farmers' Market,"58 S. Main St. parking lot, behind Bank of America",58 South Main St,Fairport,NY,14450,Fritz May,5852236795,http://www.fairportny.com,Saturday  7am-12pm,May 2-November 21,P/M,Y,N,N,Y,43.09992,-77.44214,"(43.09992, -77.44214)"
Otsego,Oneonta Farmers' Market,Muller Plaza 205 Main St. (Rt. 7),205 Main Street,Oneonta,NY,13820,Meg Kennedy,6072938128,http://www.oneontafarmersmarket.org,Saturday  9am-1pm,May 2-October 31,P/M,Y,N,N,Y,42.45417,-75.06173,"(42.45417, -75.06173)"
Onondaga,Central NY Thursday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Amanda Vitale,3154228647,http://www.cnyrma.com,Thursday 7am-2pm,May-November,P/M,Y,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Albany,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,YR,Y,Y,Y,Y,42.66338,-73.75595,"(42.66338, -73.75595)"
Dutchess,Hyde Park Farmers' Market,4390 Albany Post Rd. (Rt 9),4390 Route 9,Hyde Park,NY,12538,Dot Chenevert,8452299336,http://www.hydeparkfarmersmarket.org,Saturday  9am-2pm,June 6-October 31,M,Y,N,N,Y,41.7913,-73.93615,"(41.7913, -73.93615)"
Kings,Harvest Home Brower Park Farm Stand,Prospect Place & Brooklyn Ave. Next to Brooklyn Childrens Museum,Prospect Place and Brooklyn Ave.,Brooklyn,NY,11213,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-3pm,June 4-November 19,M,Y,Y,N,Y,40.674,-73.94454,"(40.674, -73.94454)"
Queens,Edgemere Farm Stand,385 Beach 45th St. Far Rockaway,385 Beach 45th Street,Queens,NY,11691,Michael Repasch-Nieves,3477547336,http://www.edgemerefarm.org,Fri/Sat 10am-3pm,June 5-November 28,P/M,Y,N,N,Y,40.59536,-73.77654,"(40.59536, -73.77654)"
New York,Union Square Saturday Greenmarket,"31 Union Square W , NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket,Saturday  8am-6pm,Year-round,YR,Y,Y,N,Y,40.7371,-73.99032,"(40.7371, -73.99032)"
Kings,Project EATS Essex Crossing Farm Stand,115 Delancey St New York,125 Delancey St,New York,NY,10002,Shevan Durant,2126121528,,Sat/Sun 10:30am-6pm,August 8-November 21,P/M,Y,Y,N,Y,40.71818,-73.98757,"(40.71818, -73.98757)"
Kings,McCarren Park Greenmarket,228 N. 12th St at Union Ave,N 12th Street and Driggs Ave,Brooklyn,NY,11222,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Saturday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.72046,-73.95269,"(40.72046, -73.95269)"
Queens,Ridgewood GrowNYC Farm Stand,Cypress Ave. btwn Myrtle & Putnam Aves.,Myrtle Ave and Cypress Ave,Ridgewood,NY,11385,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Saturday  8:30am-3pm,July 20-November 20,M,Y,Y,N,Y,40.70011,-73.90619,"(40.70011, -73.90619)"
Schenectady,Veggie Mobile-Schenectady Day Nursery,25 Lafayette St,25 Lafayette St,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.captialroots.org,Monday 4pm-4:45pm,Year-round,YR,Y,Y,Y,Y,42.81479,-73.93633,"(42.81479, -73.93633)"
Orange,Kirby Farm Hemlock Grove Farm Stand,25 Kinne Lane Middletown,25 Kinne Lane,Middletown,NY,10940,Charles F. Kirby,8453552718,,Daily 8am-6pm,Year-round,YR,Y,N,N,Y,41.40479,-74.50332,"(41.40479, -74.50332)"
Lewis,Lowville Farmers' Market,Lewis County Fairgrounds 5485 Bostwick St.,5485 Bostwick Street,Lowville,NY,13367,Rhonda Farney,3153466759,http://www.facebook.com/lowvillefarmandcraftmarket/,Saturday  8am-2pm,June 6-October 31,M,Y,N,N,Y,43.79484,-75.48769,"(43.79484, -75.48769)"
Cattaraugus,South Dayton Farmers' Market,Village Square Park  Rt 322 & Park St,Rt 322 and Park st.,South Dayton,NY,14138,Linda Dewey,7166729004,http://www.facebook.com/pages/South-Dayton-Farmers-Market/1662449950658252,Saturday  9am-3pm,June 6-October 24,M,Y,N,N,Y,42.3609,-79.04925,"(42.3609, -79.04925)"
Niagara,Schwab Farm Stand,9035 Rochester Rd. Gasport,9035 Rochester Rd,Gasport,NY,14067,Sharon Brent,7165600853,http://www.schwabsfarm.com,"Mon-Fri  8am-7pm, Sat/Sun  9am-5pm",Year-round,YR,Y,Y,N,Y,43.20425,-78.52308,"(43.20425, -78.52308)"
St. Lawrence,Circle G Farm Farm Stand,705 CR 7 at Turner Rd. Hammond,705 County Route 7,Hammond,NY,13646,George Blatchley,3155782419,,Sunday 1pm-5pm,June 28-September 27,M,Y,N,N,Y,44.47353,-75.55463,"(44.47353, -75.55463)"
Rensselaer,Veggie Mobile Sprout-Lansingburgh Apts,41 114th Street Troy,41 114th Street,Troy,NY,12182,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 2:30pm-3:15pm,Year-round,YR,Y,Y,Y,Y,42.77223,-73.67258,"(42.77223, -73.67258)"
Franklin,JCEO MM-Malone DSS,184 Finney Blvd Malone,184 Finney Blvd,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Friday  11:30am-2pm,June 12-October 16,M,Y,Y,N,Y,44.83873,-74.30102,"(44.83873, -74.30102)"
New York,Tucker Square Saturday Greenmarket,125 Columbus Ave btwn W 65th & W 66th Sts.,Columbus and West 66th St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tuckerthursday,Saturday  8am-5pm,Year-round,YR,Y,Y,N,Y,40.77361,-73.98158,"(40.77361, -73.98158)"
Queens,Cunningham Park Farmers' Market,"19600 Union Tpke, Fresh Meadows, NE corner parking lot near 196th Pl",196-10 Union Turnpike,Fresh Meadows,NY,11366,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Sunday  9am-2pm,May 10-November 22,P/M,Y,Y,N,Y,40.73056,-73.77346,"(40.73056, -73.77346)"
Onondaga,Emmi's Farm Market-Liverpool,1401 Buckley Rd. Liverpool,1401 Buckley Road,Liverpool,NY,13088,Anthony Emmi,3156357529,http://www.emmifarms.com,"Mon-Sat 10am-6pm, Sunday 10am-6:30pm",July 5-September 4,M,Y,N,N,Y,43.13879,-76.17373,"(43.13879, -76.17373)"
Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,YR,Y,Y,Y,Y,42.77712,-73.70101,"(42.77712, -73.70101)"
Kings,Carroll Gardens Greenmarket,330 Carroll St. btwn Smith & Court Sts.,Carroll St and Court St,Brooklyn,NY,11231,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Sunday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.68106,-73.99653,"(40.68106, -73.99653)"
Queens,Queens County Farm Museum Farm Stand,73-50 Little Neck Parkway Floral Park,73-50 Little Neck Parkway,Queens,NY,11004,Anne Mastrogiacomo,7183473276,http://www.queensfarm.org,Wed-Sun 11am-3pm,July 8-November 8,P/M,Y,Y,N,Y,40.74818,-73.72124,"(40.74818, -73.72124)"
Franklin,Saranac Lake Village Farmers' Market,"Riverside Park , Corner of Main St. & Route 3",Corner of Main St. & Route 3,Saranac Lake,NY,12983,Dan Rivera,5185634777,http://www.ausablevalleygrangefarmersmarkets.com/,Saturday  9am-2pm,May 30-October 10,M,Y,Y,N,Y,44.32503,-74.13178,"(44.32503, -74.13178)"
Kings,Brooklyn Borough Hall Tuesday Greenmarket,211 Montague St. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/boro-hall-sa,Tuesday  8am-4pm,Year-round,YR,Y,Y,N,Y,40.69374,-73.99043,"(40.69374, -73.99043)"
Greene,Fromer Market Gardens Farm Stand,6120 Main St.  Tannersville,6120 Main Street,Tannersville,NY,12485,Becky Kempter,9165993136,,Saturdays  9am-3pm,Year-round,YR,N,N,N,Y,42.19546,-74.13889,"(42.19546, -74.13889)"
Wayne,Ginegaw Farmers' Market,1980 Walworth Penfield Rd. Walworth,1980 Walworth Penfield Rd.,Walworth,NY,14568,Jacqueline VanLare,3159861400,http://www.townofwalworthny.gov,Tuesday  3pm-6pm,June 9-October 6,M,Y,N,N,Y,43.1391,-77.28549,"(43.1391, -77.28549)"
Albany,Veggie Mobile-Howe Library,Schuyler & Broad St. Albany,Schuyler St and Broad Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,YR,Y,Y,Y,Y,42.64112,-73.75802,"(42.64112, -73.75802)"
Erie,Westside Tilth Market Farm Stand,246 Normal Ave. Buffalo,246 Normal Ave.,Buffalo,NY,14213,Carrie Nader,7163616591,http://www.westsidetilth.com,Sat 10am-2pm,July 4-October 31,M,Y,N,N,Y,42.90687,-78.88899,"(42.90687, -78.88899)"
Monroe,Curbside Market-Glenwood Gardens,41 Kestrel St. Rochester,41 Kestrel St,Rochester,NY,14613,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Sat  4pm-5:15pm,July 11-December 19,M/X,Y,Y,N,Y,43.175465,-77.644124,"(43.175465, -77.644124)"
Steuben,Dwarf Hollow Farm Stand,10312 State Route 53 Prattsburgh,10312 State Route 53,Prattsburgh,NY,14873,Cynthia Kolkmann,6075223277,http://www.dwarfhollowfarmstad.com,Daily 10am-6pm,May 1-November 30,P/M,Y,N,N,Y,42.50169,-77.28544,"(42.50169, -77.28544)"
Montgomery,Clancy Farms Farm Stand,265 Heiser Road Fort Plain,265 Heiser Road,Fort Plain,NY,13339,David Clancy,5189934806,http://www.facebook.com/clancyfarm,"Mo/Tu/We  10am-6pm, Saturday  1pm-6pm",June 22-October 31,M,Y,N,N,Y,42.91494,-74.62885,"(42.91494, -74.62885)"
Schoharie,Jefferson Farmers' Market,221 Cremery St. Jefferson,221 Cremery St.,Jefferson,NY,12093,Carol Bodnar,6076522107,http://www.facebook.com/Jefferson-NY-Farmers-Market-1982994021967209/,Saturday 9am-12pm,May 23-October 10,P/M,Y,N,N,Y,42.48069,-74.6133,"(42.48069, -74.6133)"
Clinton,Plattsburgh Farmers' & Crafters Wed Market,City parking lot  Durkee & Broad St.,Broad St and Durkee St,Plattsburgh,NY,12901,Julie Baughn,5188027164,http://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Wednesday  10am-2pm,June 3-October 31,M,Y,N,N,Y,44.69535,-73.45226,"(44.69535, -73.45226)"
Franklin,Saranac Lake WINTER Farmers' Market,Hotel Saranac 100 Main St. Saranac Lake,100 Main St,Saranac Lake,NY,12983,Jacob Vennie Vollrath,5182172495,http://www.ausablevalleygrangefarmersmarkets.com/,Saturday  10am-2pm,October 19-Dec19,M/X,Y,N,N,Y,44.32717,-74.13016,"(44.32717, -74.13016)"
Queens,Corona Greenmarket,Roosevelt Ave. btwn 103rd & 104th Sts.,Roosevelt Ave and 103rd St,Corona,NY,11368,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-3pm,June19-November 27,M,Y,Y,N,Y,40.74994,-73.86221,"(40.74994, -73.86221)"
New York,Mount Sinai Hospital Greenmarket,1425 Madison Ave. at E 99th St.,East 99th St and Madison Ave,New York,NY,10029,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Wednesday  8am-5pm,June 10-November 25,M,Y,Y,N,Y,40.78918,-73.95276,"(40.78918, -73.95276)"
Schenectady,Veggie Mobile-Ten Eyck Apts,375 Broadway Schenectady,375 Broadway,Schenectady,NY,12305,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 3:15pm-4pm,Year-round,YR,Y,Y,Y,Y,42.80919,-73.94511,"(42.80919, -73.94511)"
Kings,Harvest Home Kings Co. Hospital Farmers' Market,Clarkson Ave btwn E 37th & E 39th Sts.,511 Clarkson Ave,Brooklyn,NY,11203,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am - 6pm,June 17-November 25,M,Y,Y,N,Y,40.65588,-73.94245,"(40.65588, -73.94245)"
Erie,Peaceful Soul Farmers' Market,11359 Southwestern Blvd (Native Pride) Irving,11359 Southwestern Blvd,Irving,NY,14081,Azalia Garlow,7169037066,http://www.peacefulsoulfarmersmarket.com,Tuesday  10am-3pm,June 16-October 27,M,Y,Y,N,Y,42.57394,-79.09044,"(42.57394, -79.09044)"
Onondaga,Fayetteville Farmers' Market,Fayetteville Town Ctr 504 Burdick St.,504 Burdick Street,Fayetteville,NY,13066,Lacey Cashman,3013351434,http://www.fayettevillefarmersmarketcny.com,Thur 12pm-6pm,May 7-October 22,P/M,Y,N,N,Y,43.02764,-76.01608,"(43.02764, -76.01608)"
Saratoga,Veggie Mobile Sprout-John S. Moore,2 Harris Ave.,2 Harris Avenue,Mechanicville,NY,12118,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 3pm-3:30pm,Year-round,YR,Y,Y,Y,Y,42.89934,-73.69122,"(42.89934, -73.69122)"
Cayuga,Moravia Farmers' Market,Kinney Drug Store pkg lot 130 Main St.,130 Main St,Moravia,NY,13118,Barbara Flynn,3154962235,,Thursday  10am-2pm,June 4-October 29,M,Y,N,N,Y,42.71209,-76.42079,"(42.71209, -76.42079)"
New York,Inwood Greenmarket,"620 Isham St., Isham Park, btwn Seaman Ave. & Cooper St.",Isham St and Seaman St,New York,NY,10034,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/inwood,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.86988,-73.9209,"(40.86988, -73.9209)"
Nassau,Country Fresh Farmingdale Farmers' Market,Village Green  361 Main St,361 Main St,Farmingdale,NY,11735,Mary Schneider,6316735844,,Sunday  10am-3pm,June 7-November 22,M,Y,N,N,Y,40.73166,-73.44566,"(40.73166, -73.44566)"
New York,Stuyvesant Town Greenmarket,East 14th St. Loop & Ave A South end of oval,1 Stuyvesant Oval,New York,NY,10009,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sun  9:30am-4pm,May 17-December 20,P/M/X,Y,Y,N,Y,40.73146,-73.97875,"(40.73146, -73.97875)"
Niagara,Human Farms & Greenhouse,2853 Hess Rd. Appleton,2853 Hess Rd,Appleton,NY,14008,JoMarie Human,7165312820,,Daily 9a-5p,June 1-December 31,M/X,Y,Y,N,Y,43.27537,-78.64954,"(43.27537, -78.64954)"
Orange,Florida NY Farmers' Market,133 N Main St near Dollar Tree/Quick Check,133 N Main Street,Florida,NY,10921,Janet Picarelli,8456518310,http://www.floridafarmersmarket.org,Tue 10am-4pm,June 16-Oct 27,M,Y,N,N,Y,41.33775,-74.35873,"(41.33775, -74.35873)"
Erie,5 Loaves Farm Stand-Delavan Ave,70 West Delavan Ave Buffalo,70 West Delevan Ave,Buffalo,NY,14213,Matt Kauffman,7168039241,http://5loavesfarm.org,Friday 4pm-7pm,July 1-September 31,M,Y,N,N,Y,42.9223,-78.8969,"(42.9223, -78.8969)"
New York,Hamilton Heights Green Youth Market,"Johnny Hartman Plaza (North Corner), Amsterdam Ave btwn 143rd & 144th sts.",143rd Street and Amsterdam Ave,Manhattan,NY,10031,Wendy Flores,2122837044,http://brotherhood-sistersol.org/programs/environmental-program,Wed  11am-6pm,June 20-November 25,M,Y,Y,N,Y,40.82396,-73.94855,"(40.82396, -73.94855)"
New York,Rockefeller Center Thu Greenmarket,Rockefeller Plaza at 50th St.,Rockefeller Plaza and West 50th St,New York,NY,10112,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-5pm,July 16-August 20; Oct 1-October 22,M,Y,Y,N,Y,40.75914,-73.97873,"(40.75914, -73.97873)"
Tioga,Our Green Acres Farm Stand,3965 Waverly Rd Owego,3965 Waverly Rd,Owego,NY,13827,Frank Wiles,6076872874,http://www.ourgreenacres.com,Daily 11am-6pm,June 15-October 31,M,Y,N,N,Y,42.10315,-76.26336,"(42.10315, -76.26336)"
Herkimer,Old Forge Farmers' Market,Park Ave behind Old Forge Hardware,Crosby Blvd and Park Ave,Old Forge,NY,13420,Robin Hill,3153693353,http://www.cap-21.org,Friday  1pm-5pm,June 19-October 9,M,Y,Y,Y,Y,43.70893,-74.97286,"(43.70893, -74.97286)"
Washington,Ft Edward Canal St. Mktplace Farmers' Market,63 Canal St.  Fort Edward,63 Canal Street,Fort Edward,NY,12828,Peter Williams,5187473237,http://www.canalstreetmarketplace.org,Thursday  4pm-7pm,June 4-September 24,M,Y,N,N,Y,43.26875,-73.58419,"(43.26875, -73.58419)"
Montgomery,Canajoharie Farmers' Market,24 Church Street Wagner Square parking lot,24 Church Street,Canajoharie,NY,13317,Janet L. Stanley,5186730292,http://www.canajohariefarmersmarket.com,Sunday  11am-2pm,June 9-October 11,M,Y,N,N,Y,42.90515,-74.57222,"(42.90515, -74.57222)"
Albany,Voorheesville Farmers' Market,"First United Methodist Church lot, 68 Maple Ave.",68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536,http://www.facebook.com/VoorheesvilleFarmersMarket,Wed  3:30pm-6:30pm,June 17-September 30,M,Y,N,N,Y,42.64892,-73.92991,"(42.64892, -73.92991)"
Monroe,Curbside Market-Salvation Army (Geneva),41 North St Geneva,41 North St,Geneva,NY,14456,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Fri 11:15am-12:30pm,July 10-December 18,M/X,Y,Y,N,Y,42.87554,-76.9801,"(42.87554, -76.9801)"
Kings,Bartel-Pritchard Square Sunday Greenmarket,205 Prospect Park at West 15th St. inside park,Prospect Park West and 14th Street,Brooklyn,NY,11215,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/bartel-pritchard-square-wed,Sunday  9am-3pm,Year-round,YR,Y,Y,N,Y,40.66094,-73.97979,"(40.66094, -73.97979)"
Orange,Warwick Valley Farmers' Market,"South St. parking lot, In the Historic Village",South St and Bank St,Warwick,NY,10990,Cheryl Rogowski,8459879990,http://www.warwickvalleyfarmersmarket.org,Sunday  9am-2pm,May 10-November 22,P/M,Y,Y,N,Y,41.25656,-74.35858,"(41.25656, -74.35858)"
Nassau,Restoration Farm Farm Stand,140 Bethpage-Sweet Hollow Road,140 Bethpage-Sweet Hollow Road,Old Bethpage,NY,11804,Caroline Fanning,7183094220,http://www.restorationfarm.com,"Saturday 10am-1pm, Tu/Th 3pm-6pm, hours change Oct 31",May 16-December 19,M/X,Y,N,N,Y,40.76181,-73.44488,"(40.76181, -73.44488)"
Kings,Williamsburg Greenmarket,33 Lee Ave. at Taylor St.,199 Taylor St,Brooklyn,NY,11211,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-4pm,July 2-November 19,M,Y,Y,N,Y,40.70643,-73.96211,"(40.70643, -73.96211)"
Rockland,Nyack Farmers' Market,119 Main St. Municipal Parking Lot,Main St and Franklin St,Nyack,NY,10960,Pam Moskowitz,8454943408,http://www.nyackchamber.org,Thursday  8am-2pm,March 5-December 17,P/M/X,Y,Y,N,Y,41.09154,-73.9216,"(41.09154, -73.9216)"
New York,Tompkins Square Greenmarket,Tompkins Square Park 111 Ave at E 7 St.,Avenue A and East 7th St,New York,NY,10009,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tompkins-square,Sunday  9am-5pm,Year-round,YR,Y,Y,N,Y,40.72602,-73.98353,"(40.72602, -73.98353)"
